id,evento,img,title,url,date,ocr_text
102025,0,0-afiche-102025.jpg,Voluntariado Juvenil Alianza del Pacífico 2025,https://voluntariado.alianzapacifico.net/,2025-04-21 11:04:21,- - c injuv alianza del pacifico ministerio de desarrollos socialyfamilia appiness vaja oyout compareey transfoama postula al oluniariado de la alianza del pacifico postula hasta el28 de abril entra a voluntarado.alanalanzapacieco.nei mas informacion en injuv.gob.cl chile avanza contigo gobierno de chile
102189,0,0-afiche-102189.jpg,día de la Tierra,https://extinctionrebellion.uk/declaration/,2025-04-22 11:19:22,
74333,0,0-afiche-74333.jpg,Servicio de mantenimiento y reparación notebooks,https://www.u-cursos.cl/ingenieria/2/foro_institucion/o/2849213,2024-04-10 20:02:10,"hcs! tu notebook presenta problemas7 asegvbete d elevelri tece sevirs = meerheen vanecin solucionest siquieres ssalates te eficientre precios sustos y ycon seguienoso mvptamgnce sin compromisosi cotizar te ofrecemosd de calidady funserviçio amigabla de, quedarte aprender poseilidad eltema beppesn mas sobre un poco sera realizado elservic dentro de quedara la facultar listo tu equipo - dia feedback durante el mismo en cl ford: e fcfm.d_tech +56 m 4106 8866 dtech"
74353,0,0-afiche-74353.jpg,Mantenimiento de Notebooks y venta de productos!!!,https://www.instagram.com/beauchef._mantenimientos/,2024-04-10 22:25:10,"mantenimiento de notebooks - hracke limpieza, ubricacion, cambio de pasta térmica y venta de ssd. consultas mow @beduchet.mantenimientos maximilicno.amh@gmdlil.com rik.oer@ug.uchle.c open!"
74409,0,0-afiche-74409.jpg,Oferta Tesis de pregrado. Fondecyt Iniciacion,,2024-04-11 14:17:11,"centro de investigacion austral biotech, ust. ofrece a partir de mayo 2024: gustral biotech"" ust tesis remunerada universdad: santotomas tema: . modificacion de una matriz orgànicapara la detecciony retencion de agroquimicos presentes en agua"". una investigacion aplicada en el marco del proyecto fondecyt1 11240374: supramolecular encapsulation system of an agrochemicalhost on a pdms surface. study and quantification of the effect on the system due to the amplification of light by emission of stimulated radiation. tema propuesto para un estudiante de pregrado de las carreras: licenciatura en quimica, quimica ambiental, biotecnologia y/o carreras afines. la formaciôn del estudiante comprenderà la modificacion quimica de compuestos de inclusion, sintesis organica, quimica supramolecular, quimica de superficies, remediacion ambiental, técnicas de microscopia y cristalografia, entre otras. lugar de ejecuciôn:ciab - universidad santo tomas, avda. ejército 146, santiago. interesadas/os contactara: dra. tamara bruna, tbruna@santotomas.cl postulaciones hasta el 19/04/24"
74541,0,0-afiche-74541.jpg,Únete a Injenia Hub: Impulsa la Innovación FCFM,https://forms.gle/gop76RJmm5AksZoH7,2024-04-13 10:55:13,su ma te a nuestro equipo injenia 5 hub completa el formulario
74545,0,0-afiche-74545.jpg,Modelo de Naciones Unidas,https://docs.google.com/forms/d/e/1FAIpQLSerHTl_xzTE6YhlNDdxWJ9_KIUiRKHDrJ6DOYstZpxMx5ilMA/viewform,2024-04-13 16:19:13,inscripciones 00000 2024 delial 15 deabril a1 el formulario està disponible en la biografia de nuestro - instagram omonuch.oficial las clases comienzan en mayo. cualquier pregunta no dudes en escribirnos!
74577,0,0-afiche-74577.jpg,Querida Beauchefiana ¡te estamos buscando!,https://forms.gle/pejojDRBcMhMwEJU6,2024-04-14 19:10:14,aqui en uerid a - - c 6 - 6 4 a1  chef teestames buscandel - para ser parte del equipo
74593,0,0-afiche-74593.jpg,"Autismo, Deficit Atencional? Conoce CONEUCH",https://chat.whatsapp.com/DSeuH8ozZhW9WOVWRxsD5S,2024-04-15 00:28:15,"fcfm  cansadg de que 80 noren las nonpudhyegiciase inos presentamos!: somos conebea: coordinadora neurodivergente de beauchef, somos un grupo de estudiantes, si tienes autismoodéficit particuarmente autistas.y/ocon atencional y te identificas con déficit atencional, que decidimos nuestrosentir, iunete a organizarnos para representar nosotros!. unete a conebea, nuestros intereses ante el resto para que nunca mas sufras de la comunidad estudiantil. sol@. la universidad es dificil para todos, pero para el estudiante neurodivergente puede 00 serlo mucho mas. unidos somos mas fuertes, entre nosotros nos apoyamos y ese es el objetivo principal de conebea. itenemos un grupo de whatsapp!"
74653,0,0-afiche-74653.jpg,Se buscan tutores/as MDS,https://docs.google.com/forms/d/e/1FAIpQLScn2_BCqt-lXjkn0SjisYfGguNqM-bvX_Ph_hZKTLyZxJvpRA/viewform?usp=sharing,2024-04-15 12:57:15,"buscamostutoreses para elmds! * si tienes nabilidades para ensenary quieres comparuir tus estrateglas de aprendizaje, ite estamos buscando! forma parte del equipo de tutores y tutoras del mds e $ a requisitos . ser estudiante del mds . disponibilidad minima de 6 horas a la semana (modalidad presencial y via zoom) postula del 15 ganas de trabajar en equipo y orientacion al servicio al22 de abril master of mds data science - escuela del postgrado universidad de chile y educacion continua unversidad e"
